user_upload,ad_id,video_id,labeller_id,ad_or_no,ad_brand,product,food_or_no
FALSE,33,QfT0clJas24,10,TRUE,,Online masterclass,FALSE
FALSE,34,7QuYQKoRPiI,10,TRUE,,Advantage home health solutions,FALSE
FALSE,35,_OPGg6YoPLo,10,TRUE,,Monster jam,FALSE
FALSE,36,H3Uk9WAOI08,10,TRUE,,wix.com,FALSE
FALSE,37,1I-Pl5UIdOE,10,TRUE,,Chrysler pacifica,FALSE
FALSE,38,7vm03Eqrzds,10,TRUE,,Tims credit card,FALSE
FALSE,39,t1bwnL9V0VA,10,TRUE,,Adaptive Mind game,FALSE
FALSE,40,0v3mTXlDDZw,10,TRUE,,Walmart,FALSE
FALSE,41,X3L3ylO0QrY,10,TRUE,,Ford F150,FALSE
FALSE,42,8U-tFo7KqvY,10,TRUE,,Turo app,FALSE
FALSE,43,NFHZHAo50ho,10,TRUE,,Kia,FALSE
FALSE,44,bV9TqdBwZFw,10,TRUE,,Shopify,FALSE
FALSE,45,ZUx31dyN37I,10,TRUE,,Michaels,FALSE
FALSE,46,8f83eIeuGhk,10,TRUE,,Telus online security,FALSE
FALSE,47,yYVPCQJnJKU,10,TRUE,,SAS viya,FALSE
FALSE,48,s0lXOH8UxvM,10,TRUE,,Sleep country ,FALSE
FALSE,49,cX-KJlFSsYQ,10,TRUE,,Apple products,FALSE
FALSE,50,lwVk-W9ydfM,10,TRUE,,Skyscanner,FALSE
FALSE,51,OY0BX1QKcDQ,10,TRUE,,YouTUbe premium,FALSE
FALSE,52,WjCvSVQYmzk,8,TRUE,,Husky,FALSE
FALSE,53,p9RKWvCTGtg,8,TRUE,,bridgeton ,FALSE
FALSE,54,Nz05ScI7e2A,8,TRUE,,Vancouver Film School,FALSE
FALSE,55,6dDYI3CdpUY,8,TRUE,,Adobe Premier Pro,FALSE
FALSE,56,yUiqTZW11DM,8,TRUE,,philips toothbrush,FALSE
FALSE,57,0ugMdmCxqKU,8,TRUE,,SEO on WIX,FALSE
FALSE,58,OZADqDdg6vE,8,TRUE,,Porter airlines,FALSE
FALSE,59,i5fIB4Gqaec,8,TRUE,,Grammely ,FALSE
FALSE,60,iq6KbVxbfiU,8,TRUE,,"Firebase extensions 
",FALSE
FALSE,61,HuJnGyKXLeE,8,TRUE,,shopify,FALSE
FALSE,62,hNQTRZ3fC_U,8,,,N/A,
FALSE,63,MND0nC6Xrwk,8,TRUE,,Chatr mobile,FALSE
FALSE,64,lLsS0mn95eE,8,TRUE,,Kia Seltos,FALSE
FALSE,65,CZKZAGO7G28,8,TRUE,,Rogers,FALSE
FALSE,66,4WLy2Jf-yNk,8,TRUE,,squarespace,FALSE
FALSE,67,mQQeHvSReeY,10,TRUE,,cibc smart account,FALSE
FALSE,68,SK3WHDxoVs8,10,TRUE,,Guardians of the galaxy,FALSE
FALSE,69,PyncDTKoYzw,10,TRUE,,Philips sonicare toothbrush ,FALSE
FALSE,70,VyMD03eHznY,10,TRUE,,Canadian tire rpdoucts,FALSE
FALSE,71,S6uoq-8jOl0,10,TRUE,,wix websites,FALSE
FALSE,72,p1Q0EfpusvI,10,TRUE,,Adobe firefly,FALSE
FALSE,73,s7BvERY59aw,10,TRUE,,Daz 3D,FALSE
FALSE,74,PQ5Cvme4mcM,10,TRUE,,garage,FALSE
FALSE,75,r_llivVtm3Q,10,TRUE,,anatomy bootcamp,FALSE
FALSE,76,jwM_TRN5oIo,10,TRUE,,casting call inc,FALSE
FALSE,77,NN4bCE9luas,10,TRUE,,Gap,FALSE
FALSE,78,Zrqwe51yQro,10,TRUE,,Skyscanner,FALSE
FALSE,79,d-nP_KjRsno,5,TRUE,,Land Rover Defender Vehicle,FALSE
FALSE,80,ixR-NIROxC4,5,TRUE,,Roger's combined internet and mobile plans,FALSE
FALSE,81,NasoRtK1hww,5,TRUE,,Adobe creative cloud,FALSE
FALSE,82,r2AuZB2IYtg,5,TRUE,,Debt Advice Canada Ad,FALSE
FALSE,83,eLvfRyE5qoI,5,TRUE,,Chrysler LE Genesis GV70,FALSE
FALSE,84,JR4yThSEvNA,5,TRUE,,AdaptedMind Educational Platform ,FALSE
FALSE,85,SqgUIlsDGro,5,,,N/A,
FALSE,86,PvZF2O4Irvo,5,TRUE,,Duda website builder,FALSE
FALSE,87,3FVdx1sUoL4,10,TRUE,,Sage ,FALSE
FALSE,88,kXvIz3Zsqzw,10,TRUE,,RBC vantage for students,FALSE
FALSE,89,5crtDvMgoG8,10,TRUE,,DMD-6 hospital ,FALSE
FALSE,90,McvURqImWVM,10,TRUE,,Grammarly,FALSE
FALSE,91,50xmHqH3tiQ,10,TRUE,,Shopify,FALSE
FALSE,92,SalYZCUBAwQ,5,TRUE,,Adobe Premiere Pro ,FALSE
FALSE,93,1dtzSRlfBDk,5,TRUE,,AdaptiveMind ,FALSE
FALSE,94,21gtDIAf5sQ,5,TRUE,,Walmart.ca,FALSE
FALSE,95,MmmB3F2j0JA,5,TRUE,,Mint.ca Elsie MacGill Coin,FALSE
FALSE,96,u-l8t_cv60Q,5,TRUE,,HSBC Bank ,FALSE
FALSE,97,YMyvAXiAmtI,5,TRUE,,Opera GX Desktop,FALSE
FALSE,98,PStxHBG3P1A,5,FALSE,,N/A,
FALSE,99,9fna40c4OnA,5,TRUE,,Noam Carver Jeweller,FALSE
FALSE,100,hD0REmWTyT8,5,TRUE,,Vimeo,FALSE
FALSE,101,Az578XM_vGc,5,TRUE,,Safehammer,FALSE
FALSE,102,2NGLGgQqBfM,5,TRUE,,Tru Earth Eco Strips Laundry Detergent ,FALSE
FALSE,103,0er9nlOhV6M,5,TRUE,,SAS Viya,FALSE
FALSE,104,oTDfyI-jN1c,5,TRUE,,City of Calgary Sailing Lessons ,FALSE
FALSE,105,4C_AwIVY_cE,5,TRUE,,Skyscanner ,FALSE
FALSE,106,lVOB4s0uJdU,5,FALSE,,N/A,
FALSE,107,5XH0n4AJ0I0,5,,,N/A,
FALSE,108,8O50fC3MkCA,5,TRUE,,Telus Online Security ,FALSE
FALSE,109,qEOztsWyj64,5,FALSE,,N/A,
FALSE,110,gzxqW8Kpqt4,5,TRUE,,Garage Clothing ,FALSE
FALSE,111,2C1E-AkCjNg,5,TRUE,,Six ,FALSE
FALSE,112,57LGeF34z8E,5,TRUE,,Holland America Line,FALSE
FALSE,113,DOGp8mnLn-w,5,TRUE,,QuestMorgage,FALSE
FALSE,114,9YFVgS9W1iM,5,TRUE,,Adobe Photoshop Lightroom ,FALSE
FALSE,115,MxaQdJIBnJk,5,TRUE,,Auto Trader,FALSE
FALSE,116,K3D_ra2TRkk,5,TRUE,,"Disney Pixar's ""Up"" with Live Orchestra Event",FALSE
FALSE,117,lb6C3RhrG8k,5,TRUE,,Disney Crews Line Marvel Theme ,FALSE
FALSE,118,tIbY_baPT6U,5,TRUE,,Youtube Premium,FALSE
FALSE,119,YT0vooc4pSM,8,TRUE,,"Bridge stone 
",FALSE
FALSE,120,iWJlZRJwQ6w,8,FALSE,,N/A,
FALSE,121,bKybwqigV3U,8,TRUE,,Guardians of the Galaxy ,FALSE
FALSE,122,Nwe4z56dWQU,8,TRUE,,Ancestry,FALSE
FALSE,123,TBsurVd3qVA,8,FALSE,,N/A,
FALSE,124,68OrhmIYkz0,8,TRUE,,skyscanner ,FALSE
FALSE,125,dDuCC8WAuCc,8,FALSE,,N/A,
FALSE,126,x8Tl-W5y4IY,8,TRUE,,The Personal ,FALSE
FALSE,127,uTVh-lOZoxA,8,TRUE,,EPCOT,FALSE
FALSE,128,DU0IeYwVJHg,8,TRUE,,grammerly go ,FALSE
FALSE,129,zEjaYMF7s1g,8,TRUE,,WIX,FALSE
FALSE,130,LSclR-sxHuw,8,TRUE,,notion ,FALSE
FALSE,131,BfyZOwYYLh0,8,TRUE,,walmart,FALSE
FALSE,132,Og6WOcOw2L4,8,TRUE,,chrome ,FALSE
FALSE,133,mz9QHwGWTv4,8,TRUE,,chrome ,FALSE
FALSE,134,tIiohRv3__A,8,TRUE,,remitly ,FALSE
FALSE,135,0aDEdewRq4M,8,TRUE,,google workspace,FALSE
FALSE,136,ykIlKd2JiXU,8,TRUE,,STAMPEDERS ,FALSE
FALSE,137,CY2LSWebIpU,8,TRUE,,chrome ,FALSE
FALSE,138,JXmmDmSwNH8,8,TRUE,,dell technologies ,FALSE
FALSE,139,e1f2U5wCL9s,8,TRUE,,"The brick 
Mattress store",FALSE
FALSE,140,s0VCSrYhduY,10,TRUE,,Sleep country,FALSE
FALSE,141,TvPp0Zerrb0,7,TRUE,,Skyscanner,FALSE
FALSE,142,rDS9qGhZW-M,7,TRUE,,Skating Lessons,FALSE
FALSE,143,izaS14-t_Bo,7,TRUE,,Interac verify,FALSE
FALSE,144,6VPSfvpAsoI,7,TRUE,,Movies on Pluto TV,FALSE
FALSE,145,hIrAEmfujlM,7,TRUE,,The Personal,FALSE
FALSE,146,II8epaGO-zQ,7,TRUE,,Dove Men Shampoo,FALSE
FALSE,147,Rzdpy12leA8,8,TRUE,,8fig,FALSE
FALSE,148,GrFl7H5e6CY,8,TRUE,,ford ,FALSE
FALSE,149,#NAME?,8,TRUE,,Ford Bronco,FALSE
FALSE,150,dv_fC2J49Hs,8,TRUE,,KIA,FALSE
FALSE,151,aJbITdM5l8w,8,TRUE,,BUICK Encore GX,FALSE
FALSE,152,GDSTMPOKq1w,8,TRUE,,rentals.ca,FALSE
FALSE,153,_V0YmDvlg-Y,8,TRUE,,honda civic,FALSE
FALSE,154,WkgyvKDojdE,8,TRUE,,simpli,FALSE
FALSE,155,BuINd22ufTM,8,TRUE,,lego,FALSE
FALSE,156,B830qG6T-Hg,8,TRUE,,MONSTER JAM ,FALSE
FALSE,157,9lNDDbbLtF0,8,TRUE,,Chevrolet Silverado,FALSE
FALSE,158,yBy8ffGceMk,8,TRUE,,TURO,FALSE
FALSE,159,mjlzi24wXNo,8,TRUE,,dove shampoo,FALSE
FALSE,160,LuEdqqLnEwk,8,TRUE,,CIBC,FALSE
FALSE,161,80VnJrLcJd8,10,TRUE,,Hotjar,FALSE
FALSE,162,7YRSwFjDP-w,7,TRUE,,Toyota,FALSE
FALSE,163,QkAbf6NzxdQ,7,TRUE,,Bridgestone Tires,FALSE
FALSE,164,qqtRj6H4x9I,7,TRUE,,Adobe Photoshop,FALSE
FALSE,165,gHCxSdX5Jqw,7,TRUE,,Google Career certificates,FALSE
FALSE,166,6w9SEG-5v3M,7,TRUE,,Grammarly Go,FALSE
FALSE,167,ERHxzMb4t1A,7,TRUE,,Marshalls,FALSE
FALSE,168,oKNR2uKgJ98,7,TRUE,,Shopify,FALSE
FALSE,169,s1n0a6V33eo,7,TRUE,,Rodgers phone plan,FALSE
FALSE,170,lEVhfy0i0ww,7,TRUE,,Adobe Creative Cloud,FALSE
FALSE,171,AK_9mdDyJlk,7,TRUE,,Genesis G80,FALSE
FALSE,172,Ex5SCVYDcOw,7,TRUE,,Shopify,FALSE
FALSE,173,gJoTGjqBZZo,7,TRUE,,Adobe creative cloud,FALSE
FALSE,174,bbbbGWq-fY8,7,TRUE,,Kia Seltous,FALSE
FALSE,175,bbhdHgKqlio,10,TRUE,,Grammarly,FALSE
FALSE,176,w3ZkUoAa79Y,10,TRUE,,Wix,FALSE
FALSE,177,AOTHPjPkMdE,10,TRUE,,equifax,FALSE
FALSE,178,#NAME?,10,TRUE,,Adaptive mind reading application,FALSE
FALSE,179,NkIeuYvNCQo,10,TRUE,,Semrush,FALSE
FALSE,180,Y2qMi3nU7Ko,10,TRUE,,Rogers internet,FALSE
FALSE,181,shHIQPUL47Y,10,TRUE,,Lingo pie,FALSE
FALSE,182,g0VRQfgrWI8,10,TRUE,,Prodigy math,FALSE
FALSE,183,WYasp_vEFrQ,10,TRUE,,Adobe photoshop ,FALSE
FALSE,184,OJivNOo0WAs,5,TRUE,,Opera Gx Web Browser ,FALSE
FALSE,185,q2aXxxh_Kbw,5,TRUE,,Swiffer Duster - Heavy Duty ,FALSE
FALSE,186,GeK8Dn2midE,5,FALSE,,N/A,
FALSE,187,zjlS03N9bB8,5,FALSE,,N/A,
FALSE,188,acHWusVlU_M,5,TRUE,,Grammarly ,FALSE
FALSE,189,sQtm2_6lgVg,5,TRUE,,Public Mobile - 5g subscription mobile plans,FALSE
FALSE,190,UhC1dffwctM,5,TRUE,,A&W Frozen Lemonades ,TRUE
FALSE,191,RvVcAWVXYdU,5,,,N/A,
FALSE,192,CCAP2iuNsyM,5,FALSE,,N/A,
FALSE,193,CPlpeY-PYZM,5,TRUE,,Vector High Protein Cereal ,TRUE
FALSE,194,W8UKzNh9GxY,8,TRUE,,SYLVIA ADS,FALSE
FALSE,195,GCTiU2ZHVwI,8,TRUE,,Amazon Product Flipper,FALSE
FALSE,196,dLtrmiDYPlw,8,TRUE,,DISNEY + ,FALSE
FALSE,197,AclUDtM7RBw,8,TRUE,,onshare,FALSE
FALSE,198,bzDD8ItXmXY,8,TRUE,,Hotjar,FALSE
FALSE,199,5Jw6FRnziSA,8,TRUE,,GrammerlyGO,FALSE
FALSE,200,C1t4UVIZ2RM,8,TRUE,,SAS Viya,FALSE
FALSE,201,kdXVCTAp1ng,8,TRUE,,slack,FALSE
FALSE,202,Dm9ETdzokog,8,TRUE,,skyscanner,FALSE
FALSE,203,ZddVGVzvva8,8,TRUE,,Pelota,FALSE
FALSE,204,8lvV8ALW5dY,8,TRUE,,quickbooks,FALSE
FALSE,205,SI9l9cLaDBE,8,TRUE,,interac verified,FALSE
FALSE,206,LO6UxW6nJhU,8,FALSE,,N/A,
FALSE,207,PKoUYFWOi8M,5,TRUE,,Original Eggo Waffles,TRUE
FALSE,208,LVsh9CpwSZ4,5,TRUE,,Nissan Vehicles ,FALSE
FALSE,209,rzXW7qp-pzA,5,TRUE,,Smart Water Alkaline ,TRUE
FALSE,210,DWCJ-21y0LA,5,TRUE,,Coca Cola Soda ,TRUE
FALSE,211,z0L9vXiRqHE,5,TRUE,,Sports Chek,FALSE
FALSE,212,LykmLxabMi8,5,TRUE,,Swiffer Heavy Duty ,FALSE
FALSE,213,hXUtMITkZTM,5,TRUE,,Rogers paired 5G mobile and internet plans ,FALSE
FALSE,214,3cAOzvD9BIQ,5,TRUE,,Super Mario Oreos ,TRUE
FALSE,215,vP1M4suP50M,5,TRUE,,All Dressed Crispers ,TRUE
FALSE,216,u0hGgiK1ePg,5,TRUE,,Clif Bar - Chocolate Chip ,TRUE
FALSE,217,a74R1pWyl1Q,5,TRUE,,Theodore and Pringle Optical Warranty Program ,FALSE
FALSE,218,PTZL1UMBn84,5,TRUE,,Audible ,FALSE
FALSE,219,_7wITyAqkG4,5,TRUE,,Staples ,FALSE
FALSE,220,Z2j7gstA74s,5,TRUE,,Clif Bar - Chocolate Chip ,TRUE
FALSE,221,fQa597vwP1M,5,TRUE,,Coca Cola Beverage,TRUE
FALSE,222,nHzXlsGuBrA,8,TRUE,,peloton,FALSE
FALSE,223,CScqunEGklw,8,TRUE,,"H&M 
",FALSE
FALSE,224,pKJZYjl-akg,8,TRUE,,rakuten,FALSE
FALSE,225,fSvCYcthtf4,8,TRUE,,UNIQLO,FALSE
FALSE,226,7G4edBycFxc,8,TRUE,,skyscanner,FALSE
FALSE,227,i75mLe6S80A,8,TRUE,,skyscanner,FALSE
FALSE,228,NOvIL957_Ac,8,TRUE,,clinique,FALSE
FALSE,229,roc6-hUnpSw,8,TRUE,,old nacy ,FALSE
FALSE,230,kAuepaVSY-Y,8,TRUE,,herbal essences,FALSE
FALSE,231,AxcmOpm32gY,8,,,N/A,
FALSE,232,JdvKf_P5Y5M,8,TRUE,,"Reactine rapid resolve
",FALSE
FALSE,233,h2KAlEGz9ow,8,TRUE,,"Cracker Barrel Cheese old
Cracker Barrel Slices ",TRUE
FALSE,234,IstswbRjq58,5,TRUE,,Real Canadian Superstore,FALSE
FALSE,235,gfUBsktGQl0,5,TRUE,,Public Mobile ,FALSE
FALSE,236,ytpp-Tj6UkI,5,TRUE,,NIVEA Firming Body Lotion Q10,FALSE
FALSE,237,sHUERrKQ4oI,5,TRUE,,Mr. Christie Cookies ,TRUE
FALSE,238,214_a26PlmM,8,TRUE,,NYDA,FALSE
FALSE,239,Tm1yGD4R7F8,8,,,N/A,
FALSE,240,aX73qtwJX4k,8,TRUE,,Dentyne ice,TRUE
FALSE,241,JNhDp8QkSQ4,8,TRUE,,nutrogena acne patches,FALSE
FALSE,242,fxXuCUvGvG8,8,TRUE,,TP warrenty,FALSE
FALSE,243,MmJuTu8uGYo,8,TRUE,,Voila,FALSE
FALSE,244,KARUeongYsQ,8,TRUE,,"Cadbury Dairy Milk Goodness Bar
",TRUE
FALSE,245,IzKgzXGaidk,8,TRUE,,Shoppers drug mart,FALSE
FALSE,246,cCyjd-k08X0,8,TRUE,,Rochers ,FALSE
FALSE,247,7J-gL4-INVs,8,TRUE,,Ford  ,FALSE
FALSE,248,gCdtMSuM28A,8,TRUE,,"Google Career Certificate
",FALSE
FALSE,249,ss6-VeDID_k,8,TRUE,,Vidyard,FALSE
FALSE,250,393qW2PyEEw,8,TRUE,,adobe firefly ,FALSE
FALSE,251,_LYmjTE9ThE,8,TRUE,,pluralsight,FALSE
FALSE,252,TqMYtgJy7h4,8,TRUE,,Jobber.com,FALSE
FALSE,253,xJ20IBq4lpM,10,TRUE,,Mode,FALSE
FALSE,254,Fs5hbGt4Few,10,TRUE,,Pets smart,FALSE
FALSE,255,u7Hm8VGay-4,10,TRUE,,YouTrack,FALSE
FALSE,256,#NAME?,10,TRUE,,Data iku,FALSE
FALSE,257,tF6ow5rQnio,10,TRUE,,Aimchess,FALSE
FALSE,258,-4SnolIvuHM,10,TRUE,,Staples,FALSE
FALSE,259,Abx5rfgt1M4,10,TRUE,,sailpoint,FALSE
FALSE,260,RkkR52pGve4,10,,,N/A,
FALSE,261,5D2eq_MwQow,10,TRUE,,Gran turismo movie,FALSE
FALSE,262,UWIEx2r6yHI,10,TRUE,,elantra car,FALSE
FALSE,263,AiCwX-ir3rE,10,TRUE,,prodsmart,FALSE
FALSE,264,wQNRjrQtAQk,10,TRUE,,youtube premium ,FALSE
FALSE,265,thV2tQadizM,10,TRUE,,lagged games,FALSE
FALSE,266,vAXozlCnFWk,10,TRUE,,crowfoot dodge,FALSE
FALSE,267,DzBDvcQFZwc,10,TRUE,,arc'teryx,FALSE
FALSE,268,SYP3ziBfVoc,10,TRUE,,skyscanner,FALSE
FALSE,269,AD1xRM0cobc,10,TRUE,,lenovo,FALSE
FALSE,270,g3iwrj147kM,10,,,N/A,
FALSE,271,vKGBkJzeRWg,10,TRUE,,F-150 ford,FALSE
FALSE,272,c3SoqeuqFdE,10,TRUE,,Jennair ,FALSE
FALSE,273,LMp8ePmQIas,10,TRUE,,petsmart,FALSE
FALSE,274,M0K4h_0Faqw,7,TRUE,,Rogers 5G plan,FALSE
FALSE,275,TCq1xIuq3i8,7,TRUE,,The Indian Scout Rogue,FALSE
FALSE,276,xnPUVA8XzRk,7,TRUE,,Structure Living Room set,FALSE
FALSE,277,6m0doPOm3-g,7,TRUE,,City of Calgary fitness classes,FALSE
FALSE,278,ipK7vQ8gEZw,7,TRUE,,Geometry Dash,FALSE
FALSE,279,Hb6ZMPgpwLo,7,TRUE,,Grammarly Go,FALSE
FALSE,280,k90y6PIzIaE,10,TRUE,,geometry dash game,FALSE
FALSE,281,OBdvLtdSZ7U,10,TRUE,,Fruit loops,TRUE
FALSE,282,68WYgXCx9UA,10,TRUE,,twisted metal show,FALSE
FALSE,283,QmWSVjT1IVM,10,,,N/A,
FALSE,284,PcVTGBYpnSw,10,TRUE,,temptations pure chicken,FALSE
FALSE,285,jZ3lLKLDVVQ,10,TRUE,,MyChristie,TRUE
FALSE,286,TejEws0Bm-I,10,TRUE,,The Low Carb(on) diet greenfield natural meat,TRUE
FALSE,287,L7B3JTA30fk,10,TRUE,,Pringles ,TRUE
FALSE,288,jFEKgMyFCP0,10,TRUE,,Grammarly and ketchup ,TRUE
FALSE,289,IsDCfHDaJso,10,TRUE,,Good Start Formula,TRUE
FALSE,290,gHKZU5linaY,10,TRUE,,Cheez It,TRUE
FALSE,291,ZdUdADSlRpU,10,TRUE,,Excel gum,TRUE
FALSE,292,k83lgaaYnoQ,10,TRUE,,Joefresh,FALSE
FALSE,293,nJfbvg84uow,10,TRUE,,Special Ops Lioness,FALSE
FALSE,294,dCpYlVMdQTk,10,TRUE,,Iogo nano,TRUE
FALSE,295,41WPJ6v9qfU,10,TRUE,,Saxenda,FALSE
FALSE,296,A71_NHcfDtQ,10,TRUE,,RItz,TRUE
FALSE,297,4elJehXnGkI,10,TRUE,,Caramilk,TRUE
FALSE,298,Uu70ttxL4bg,10,TRUE,,Hilroy,FALSE
FALSE,299,Buho8mK7S2s,10,TRUE,,Shopify,FALSE
FALSE,300,dOa9WjLXOPg,10,TRUE,,The sandbox,FALSE
FALSE,301,Hyaiyh5jWGc,10,TRUE,,Shopify,FALSE
FALSE,302,aRFQFNyA7tY,10,FALSE,,N/A,
FALSE,303,DfMXJVmkgPg,10,TRUE,,Shopify,FALSE
FALSE,304,C7rqkyEqCZA,10,TRUE,,Shopify,FALSE
FALSE,305,MeHZ734iTsk,10,TRUE,,Descript,FALSE
FALSE,306,TyCt37EIMIk,10,TRUE,,Adobe ,FALSE
FALSE,307,vyJfqdnCL2A,10,TRUE,,APW online ,FALSE
FALSE,308,SGdtK58DH3A,10,TRUE,,APW online,FALSE
FALSE,309,UjkeAVQyty0,10,TRUE,,Staples laptops,FALSE
FALSE,310,hhO_MT064r8,10,TRUE,,university district calgary,FALSE
FALSE,311,#NAME?,10,TRUE,,Dove men+care,FALSE
FALSE,312,8RYW9uEwZRc,10,,,N/A,
FALSE,313,V-7_VGhj6po,10,TRUE,,Google ads,FALSE
FALSE,314,aaPhzQKUOT8,10,TRUE,,peloton,FALSE
FALSE,315,Yh2A9SFvr80,10,TRUE,,Budsies,FALSE
FALSE,316,IUsb779508M,10,TRUE,,RBC mastercard,FALSE
FALSE,317,oYfIX8iIjBY,5,TRUE,,jackymagno.com,FALSE
FALSE,318,5ja7qWwZItw,7,TRUE,,Stampeders legacy night,FALSE
FALSE,319,PH21ttZHOJs,7,TRUE,,Sportsnet,FALSE
FALSE,320,#NAME?,7,FALSE,,N/A,
FALSE,321,cG53aLY6v1c,7,TRUE,,Rogers back to school,FALSE
FALSE,322,ZdBzVwih0tA,7,TRUE,,Ford F-150,FALSE
FALSE,323,ZPnx83h45HY,7,TRUE,,Google chrome,FALSE
FALSE,324,J8K7EmkOc2A,5,TRUE,,Shane Homes,FALSE
FALSE,325,uar_5e4itFg,5,TRUE,,Auto Trader ,FALSE
FALSE,326,0VKkKD0wSbE,5,TRUE,,Hyundai Canada,FALSE
FALSE,327,-3IqH-IwwQk,5,TRUE,,creality's Ender-3 V3 SE 3D printer ,FALSE
FALSE,328,sza-X0QHCUo,5,TRUE,,Chatr mobile ,FALSE
FALSE,329,y4RnFQBvpOg,5,TRUE,,Remitly ,FALSE
FALSE,330,wGMvESNKQSU,5,,,N/A,
FALSE,331,7kbl3Ugv9MM,5,TRUE,,Bell Mobile,FALSE
FALSE,332,1fH7IwMNtdk,5,TRUE,,Ashley's Best Sellers Furniture ,FALSE
FALSE,333,U3mfjpVsQus,5,TRUE,,2024 Acura MDX,FALSE
FALSE,334,id-FjcivB9U,7,TRUE,,Glion,FALSE
FALSE,335,hVIpQykssK0,7,TRUE,,Nord VPN,FALSE
FALSE,336,HZ2Sjnag3zA,7,TRUE,,Gen6 Driver,FALSE
FALSE,337,R87ki7F1t7Q,7,TRUE,,NBA gameplay tech,FALSE
FALSE,338,xU0l76Jau2g,7,TRUE,,Interac,FALSE
FALSE,339,utLZzZa2NI8,7,TRUE,,Honda pilot,FALSE
FALSE,340,Gr2sos31ipA,7,,,N/A,
FALSE,341,oDK6fqyBNV8,7,TRUE,,Toyota,FALSE
FALSE,342,RwomRgMdl5k,7,TRUE,,genesis,FALSE
FALSE,343,M6PGKKUK_1o,7,TRUE,,Hyundai,FALSE
FALSE,344,qudy8qtu3qs,7,TRUE,,Ninja Turtles mutant mayhem,FALSE
FALSE,345,kEMXZu2scKE,7,TRUE,,GrammarlyGo,FALSE
FALSE,346,P-0AEHXNYdE,7,TRUE,,Ford escape,FALSE
FALSE,347,NI-4XxvfUpo,7,TRUE,,Fingerlings,FALSE
FALSE,348,siFSuAt7qN8,7,TRUE,,Always pads,FALSE
FALSE,349,q8ndyU1W4OE,7,TRUE,,Dividend Income machine,FALSE
FALSE,350,BMOS6c-zd0M,7,TRUE,,Eve online,FALSE
FALSE,351,llPjOqdqzwE,7,TRUE,,Shoppers Drug mart top picks,FALSE
FALSE,352,kbbBDJwXGbw,7,TRUE,,Ford Escape,FALSE
FALSE,353,Fa0uYjcTEJI,7,TRUE,,Lids,FALSE
FALSE,354,wXJkUcBCL8g,7,TRUE,,Swiffer power mop,FALSE
FALSE,355,UBO-76MG18s,7,,,N/A,
FALSE,356,sbtoHxIJ5qI,7,TRUE,,Disney cruise line,FALSE
FALSE,357,7iA6dkaXYoo,7,,,N/A,
FALSE,358,_GNJ2NS2OLc,7,TRUE,,Disney Cruiseline,FALSE
FALSE,359,t3If26ceolU,7,,,N/A,
